Well	Strain	Hour	OD600_fit
B11	s245s	16	0.803861149965274
B11	s245s	17	0.823156871398946
B11	s245s	18	0.835283760261194
B11	s245s	19	0.842793473128459
B11	s245s	20	0.847401488249972
B12	s245s	1	0.0058702614163034
B12	s245s	2	0.0101549861033776
B12	s245s	3	0.0175028350801452
B12	s245s	4	0.0299791606095618
B12	s245s	5	0.0508105741327608
B12	s245s	6	0.0846356716354656
B12	s245s	7	0.137147901928356
B12	s245s	8	0.21324612285135
B12	s245s	9	0.313197899134052
B12	s245s	10	0.428794447538032
B12	s245s	11	0.544349924447855
B12	s245s	12	0.644200012181201
B12	s245s	13	0.720179699107214
B12	s245s	14	0.7725894227871
B12	s245s	15	0.806339540560398
B12	s245s	16	0.827121288564289
B12	s245s	17	0.839566595412194
B12	s245s	18	0.846895729951828
B12	s245s	19	0.85116938909429
B12	s245s	20	0.853647008542074
C1	s245s	1	0.00847323187383019
C1	s245s	2	0.014104137687856
C1	s245s	3	0.0233733197720691
C1	s245s	4	0.0384544174058431
C1	s245s	5	0.0625314437277174
C1	s245s	6	0.0998323997796244
C1	s245s	7	0.155012023354336
C1	s245s	8	0.231304875407267
C1	s245s	9	0.327490137213826
C1	s245s	10	0.435579520182118
C1	s245s	11	0.542412806553182
C1	s245s	12	0.635413807998838
C1	s245s	13	0.707837952881942
C1	s245s	14	0.759496775449945
C1	s245s	15	0.794080105950443
C1	s245s	16	0.816260092883062
C1	s245s	17	0.830096307604779
C1	s245s	18	0.838578819133168
C1	s245s	19	0.843723851889917
C1	s245s	20	0.846824335402379
C2	s245s	1	0.00726716738032709
C2	s245s	2	0.0117418284196367
C2	s245s	3	0.0189090229013172
C2	s245s	4	0.0302907684567745
C2	s245s	5	0.0481211674573435
C2	s245s	6	0.0754671805599275
C2	s245s	7	0.116070974488704
C2	s245s	8	0.173551748049511
C2	s245s	9	0.249660331353392
C2	s245s	10	0.341978904741391
C2	s245s	11	0.442764196995548
C2	s245s	12	0.540892399405986
C2	s245s	13	0.626343815261602
C2	s245s	14	0.693818244899784
C2	s245s	15	0.743096675606582
C2	s245s	16	0.777071502889378
C2	s245s	17	0.799575333437414
C2	s245s	18	0.814088160733054
C2	s245s	19	0.823286914074371
C2	s245s	20	0.829053586193049
C3	s245s	1	0.00827006269484896
C3	s245s	2	0.0131577841559855
C3	s245s	3	0.0208622946567699
C3	s245s	4	0.0328999918132383
C3	s245s	5	0.0514505304577012
C3	s245s	6	0.079439067836799
C3	s245s	7	0.120347487801777
C3	s245s	8	0.177447030897357
C3	s245s	9	0.252223873836637
C3	s245s	10	0.34237911603711
C3	s245s	11	0.440842156034929
C3	s245s	12	0.537416644547507
C3	s245s	13	0.622649780590147
C3	s245s	14	0.691143528426755
C3	s245s	15	0.742157419991678
C3	s245s	16	0.778042061718886
C3	s245s	17	0.802281622984249
C3	s245s	18	0.818210009910922
C3	s245s	19	0.828488199136588
C3	s245s	20	0.835042794451512
C4	s245s	1	0.00868083317090919
C4	s245s	2	0.0137088306707012
C4	s245s	3	0.0215708806201971
C4	s245s	4	0.033751209181827
C4	s245s	5	0.0523538122628654
C4	s245s	6	0.0801536212089799
C4	s245s	7	0.120375991175433
C4	s245s	8	0.175930614705823
C4	s245s	9	0.247933482365299
C4	s245s	10	0.333934594232434
C4	s245s	11	0.427176329068275
C4	s245s	12	0.51823211212619
C4	s245s	13	0.598512157892585
C4	s245s	14	0.663157008315242
C4	s245s	15	0.711516319218547
C4	s245s	16	0.745736592572898
C4	s245s	17	0.769010271011502
C4	s245s	18	0.784415205635446
C4	s245s	19	0.794429430153869
C4	s245s	20	0.800863176370581
C5	s245s	1	0.00884914948543759
C5	s245s	2	0.0139234845481309
C5	s245s	3	0.0218314678464855
C5	s245s	4	0.0340465378186342
C5	s245s	5	0.0526581382714241
C5	s245s	6	0.0804328363658365
C5	s245s	7	0.120622916059925
C5	s245s	8	0.176256272534905
C5	s245s	9	0.248720159165038
C5	s245s	10	0.335974911003227
C5	s245s	11	0.431626276450978
C5	s245s	12	0.526271679205562
C5	s245s	13	0.610888972942506
C5	s245s	14	0.679949694668401
C5	s245s	15	0.732240816373685
C5	s245s	16	0.769629310309693
C5	s245s	17	0.795280625552095
C5	s245s	18	0.812384514703359
C5	s245s	19	0.823573273537295
C5	s245s	20	0.830801348818456
C6	s245s	1	0.00746616835889337
C6	s245s	2	0.0121105419831576
C6	s245s	3	0.0195748240422589
C6	s245s	4	0.031461687744251
C6	s245s	5	0.0501178733981151
C6	s245s	6	0.0787394983065657
C6	s245s	7	0.12115187276004
C6	s245s	8	0.180874333090241
C6	s245s	9	0.259199808405048
C6	s245s	10	0.352870067302238
C6	s245s	11	0.453285265731643
C6	s245s	12	0.549063815874637
C6	s245s	13	0.630764286055281
C6	s245s	14	0.69407367289071
C6	s245s	15	0.739577229979807
C6	s245s	16	0.770544157086327
C6	s245s	17	0.79084273023088
C6	s245s	18	0.803823166887508
C6	s245s	19	0.811992982510747
C6	s245s	20	0.817083701075489
C7	s245s	1	0.0087853857350878
C7	s245s	2	0.0137856641808542
C7	s245s	3	0.0215572653187306
C7	s245s	4	0.0335302780750364
C7	s245s	5	0.0517281243036908
C7	s245s	6	0.0788260532687948
C7	s245s	7	0.117969975515093
C7	s245s	8	0.17210376151137
C7	s245s	9	0.242624087044864
C7	s245s	10	0.327667530259304
C7	s245s	11	0.421176849311221
C7	s245s	12	0.514107481701367
C7	s245s	13	0.597631496239448
