Well	Strain	k	k_se	k_p	n0	n0_se	n0_p	r	r_se	r_p	sigma	df	t_mid	t_gen	auc_l	auc_e	note
D2	s272	0.853476017014747	0.00992238718521534	3.71542162514978e-45	0.00582822820249819	0.00117293109869509	1.46282068231039e-05	0.50889996372798	0.021642337343684	3.01875347346902e-24	0.026637538241636	38	9.78532622768737	1.36204997045441	8.71572974879978	8.5927250161767	""
D3	s272	0.848872827106322	0.0102026335935608	1.30642257453686e-44	0.00495100901553963	0.000968054028180183	9.2825288790515e-06	0.493286684688467	0.0199184420659337	4.73535639131934e-25	0.0246728248429316	38	10.4167994391045	1.40516093800038	8.14001602099329	8.01840000227093	""
D4	s272	0.847790983023048	0.0096837451361629	1.90530277131577e-45	0.00550121825124288	0.00100626359379264	3.06401191503881e-06	0.489479605844634	0.0188958029000675	9.41591396520674e-26	0.0237016615267878	38	10.278578444766	1.41609001127609	8.24525367477271	8.12649998068809	""
D5	s245	0.710157803031162	0.00755379415207508	1.28633718296961e-46	3.92629119532534e-05	5.51658110950578e-06	1.70772281011848e-08	0.592816034457754	0.00934906941835285	3.6952219668653e-40	0.00471481042306654	38	16.5361701878899	1.1692449938436	2.60440124606931	2.61535004340112	""
D6	s245	0.713918996902618	0.0087457338144287	2.68490057051552e-44	2.19972364471577e-05	4.38296856911106e-06	1.25191130110426e-05	0.636556038954385	0.0132173171599207	1.12717832632447e-35	0.0065476444725001	38	16.3184016922971	1.08890205754472	2.73112283399674	2.74457504972815	""
D7	s245	0.711976514328617	0.0146735323063625	8.52866158668999e-36	1.05900115353474e-05	3.23031167524729e-06	0.00223791564088256	0.655437914498219	0.0195999694662541	8.58495233027855e-30	0.00840349634091959	38	16.9594615071557	1.0575329336732	2.30357704773328	2.37517500668764	""
D8	s245	1133114.38901471	8201393306673.93	0.999999890486085	3.69892429654504e-05	6.97437592133515e-05	0.598948753688033	0.390476377139008	0.120747090886996	0.00252869964614012	0.00809749414092372	38	61.8356585133896	1.77513217480295	0.233313078596852	0.317249961197369	""
D9	s246	0.510935176361811	0.0236195486455044	5.79837338507465e-23	2.49576657795104e-07	7.67783375287698e-08	0.00241506079645122	0.741652534985346	0.0179283771615205	3.27581350951807e-33	0.0021451017799146	38	19.5940632520455	0.934598275961723	0.588998541016133	0.612324994057414	""
D10	s246	0.655808975678285	0.00729561241759332	7.01681962952077e-46	2.39853738897905e-06	3.90762932907778e-07	3.68081287783016e-07	0.711806222838538	0.0100884022302523	6.59788320254682e-42	0.00322987374811006	38	17.5873175037508	0.97378634566556	1.73438905548648	1.74717504903674	""
D11	s246	0.682435883447187	0.010042926981473	2.72572204862799e-41	2.75032653401952e-06	7.38237887434552e-07	0.000631661835418935	0.72887725603507	0.0169124055020213	7.12979381646255e-34	0.00624653562054125	38	17.0422387043469	0.950979297022535	2.12107325319231	2.11402500234544	""
D12	s246	0.698172304188953	0.00690679555262503	8.26317713217066e-48	7.16776559570567e-06	1.53794933398413e-06	3.80998684904176e-05	0.711890521498969	0.0141204454507917	2.03341105811724e-36	0.00638986488162003	38	16.1353700019267	0.973671034558014	2.75887073791987	2.7548249438405	""
E1	s247s	0.847088187630929	0.0115404505083321	1.48495261692705e-42	0.00587215645619439	0.00148294773669348	0.000318117180444033	0.528333954581215	0.0280788081976705	7.45858807372509e-21	0.0332417685173273	38	9.39675847577213	1.31194895680966	8.97663327483065	8.83977499231696	""
E2	s247s	0.857966388837894	0.00821133529325445	2.36035962310099e-48	0.00384754077908006	0.000719709356411133	4.48568537592135e-06	0.53984476729468	0.0195200999577314	8.85244820282031e-27	0.0224142524035771	38	10.0077586970034	1.28397499161381	8.5730671405193	8.46647500246763	""
