AB19606,AB030,genes,STRING_names,gene_orthologs,unique_name,citation,gene_name,type,condition,medLFC,FDR,gene_name_stylized,Pathway
GO593_03595,IX87_11520,"coaBC, dfp, coaC",coaBC,coaBC,dfp,"",coaBC,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.130035876757831,1,italic('dfp'),
GO593_06220,IX87_14445,dnaA,dnaA,dnaA,dnaA,"",dnaA,mismatch,fosfomycin_T2_1 - none_T2_1a,0.27121096587983,0.269963285000807,italic('dnaA'),
GO593_06220,IX87_14445,dnaA,dnaA,dnaA,dnaA,"",dnaA,perfect,fosfomycin_T2_1 - none_T2_1a,0.188631691085861,0.99999997283227,italic('dnaA'),
GO593_18630,IX87_06860,dnaB,dnaB,dnaB,dnaB,"",dnaB,mismatch,fosfomycin_T2_1 - none_T2_1a,0.320356045586401,0.928275803083197,italic('dnaB'),
GO593_18630,IX87_06860,dnaB,dnaB,dnaB,dnaB,"",dnaB,perfect,fosfomycin_T2_1 - none_T2_1a,-0.607358421387114,0.98988753911283,italic('dnaB'),
GO593_14925,IX87_02905,dnaE,dnaE,dnaE,dnaE,"",dnaE,perfect,fosfomycin_T2_1 - none_T2_1a,0.0334026463943009,0.999999999444384,italic('dnaE'),
GO593_14925,IX87_02905,dnaE,dnaE,dnaE,dnaE,"",dnaE,mismatch,fosfomycin_T2_1 - none_T2_1a,0.0659170429324226,0.999999999995243,italic('dnaE'),
GO593_10380,IX87_18520,dnaG,IX87_18520,dnaG,dnaG,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.22678548508144,0.995704712415359,italic('dnaG'),
GO593_10380,IX87_18520,dnaG,IX87_18520,dnaG,dnaG,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,0.0281190621666529,0.999999983311647,italic('dnaG'),
GO593_06350,IX87_14595,dnaK,dnaK,dnaK,dnaK,"",dnaK,perfect,fosfomycin_T2_1 - none_T2_1a,-0.838464468483678,0.592885922447727,italic('dnaK'),
GO593_06350,IX87_14595,dnaK,dnaK,dnaK,dnaK,"",dnaK,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0302437559541004,0.999882840819057,italic('dnaK'),
GO593_06215,IX87_14440,dnaN,dnaN,dnaN,dnaN,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.0880048022305531,0.999996023555052,italic('dnaN'),
GO593_06215,IX87_14440,dnaN,dnaN,dnaN,dnaN,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0180551210950712,0.999999999231328,italic('dnaN'),
GO593_18020,IX87_06235,dnaX,IX87_06235,dnaX,dnaX,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.0709415008023592,0.999967430294542,italic('dnaX'),
GO593_18020,IX87_06235,dnaX,IX87_06235,dnaX,dnaX,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0961505096215858,1,italic('dnaX'),
GO593_17835,IX87_21765,unknown,IX87_21765,GO593_17835,dsrH,https://www.ncbi.nlm.nih.gov/protein/1784829538,.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.244985745213207,0.999999929605944,italic('dsrH'),
GO593_17835,IX87_21765,unknown,IX87_21765,GO593_17835,dsrH,https://www.ncbi.nlm.nih.gov/protein/1784829538,.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0331649373314384,1,italic('dsrH'),
GO593_10610,IX87_01725,dut,dut,dut,dut,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.317107954393617,0.997202973031198,italic('dut'),
GO593_10610,IX87_01725,dut,dut,dut,dut,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.00426440594397768,1,italic('dut'),
GO593_17725,IX87_21650,dxr,AIL81121.1,dxr,dxr,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.586216160284766,0.998503389107545,italic('dxr'),
GO593_17725,IX87_21650,dxr,AIL81121.1,dxr,dxr,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.106221484219351,0.999998581221676,italic('dxr'),
GO593_04335,IX87_12270,dxs,AIL79360.1,dxs,dxs,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0568231661473513,0.868232422898248,italic('dxs'),
GO593_04335,IX87_12270,dxs,AIL79360.1,dxs,dxs,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.991721052824981,0.971079938383654,italic('dxs'),
GO593_01245,IX87_08770,efp,efp,efp,efp,"",efp,perfect,fosfomycin_T2_1 - none_T2_1a,-2.09423840549397,0.0255362815597777,italic('efp'),
GO593_01245,IX87_08770,efp,efp,efp,efp,"",efp,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.145433137460505,0.999999999588713,italic('efp'),
GO593_17305,IX87_20940,eno,eno,eno,eno,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,0.78458435361499,0.0790339043658914,italic('eno'),
GO593_17305,IX87_20940,eno,eno,eno,eno,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,0.282861627449853,1,italic('eno'),
GO593_12900,IX87_04760,"epd, gap, gapA",epd,"epd, gap, gapA",epd,"",gap,perfect,fosfomycin_T2_1 - none_T2_1a,-0.716494469543398,0.976730462545024,italic('epd'),
GO593_12900,IX87_04760,"epd, gap, gapA",epd,"epd, gap, gapA",epd,"",gap,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0578176498025882,0.998194031998014,italic('epd'),
GO593_01750,IX87_09265,era,IX87_09265,era,era,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.179613992507317,0.999982620803541,italic('era'),
GO593_01750,IX87_09265,era,IX87_09265,era,era,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,0.047366257814575,0.999999999999999,italic('era'),
GO593_06170,IX87_14395,erpA,erpA,erpA,erpA,"",erpA,perfect,fosfomycin_T2_1 - none_T2_1a,-3.27913192203932,6.58464339985705e-06,italic('erpA'),
GO593_06170,IX87_14395,erpA,erpA,erpA,erpA,"",erpA,mismatch,fosfomycin_T2_1 - none_T2_1a,-2.3456736067019,0.057937606608079,italic('erpA'),
GO593_02110,IX87_09640,"etfA, fixB, ydiR",AIL78883.1,"etfA, fixB, ydiR",etfA,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.3031069236194,0.990298745840879,italic('etfA'),
GO593_02110,IX87_09640,"etfA, fixB, ydiR",AIL78883.1,"etfA, fixB, ydiR",etfA,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.09029697675699,0.999999999999469,italic('etfA'),
GO593_02115,IX87_09645,"etfB, fixA, ydiQ",etfB,"etfB, fixA, ydiQ",etfB,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.560706628272221,0.987941528494887,italic('etfB'),
GO593_02115,IX87_09645,"etfB, fixA, ydiQ",etfB,"etfB, fixA, ydiQ",etfB,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,0.00339739793244944,0.99999999999999,italic('etfB'),
GO593_08385,IX87_16440,"etfD, fixC, ydiS, ygcN",AIL80140.1,"etfD, fixC, ydiS, ygcN",etfD,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.393157188601622,0.999999987261135,italic('etfD'),
GO593_08385,IX87_16440,"etfD, fixC, ydiS, ygcN",AIL80140.1,"etfD, fixC, ydiS, ygcN",etfD,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.233193722146006,1,italic('etfD'),
GO593_08775,IX87_16865,unknown,exbB_1,GO593_08775,exbB_1,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.0336942759360097,0.999999999990052,italic('exbB_1'),
GO593_08775,IX87_16865,unknown,exbB_1,GO593_08775,exbB_1,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,0.0539658580132989,1,italic('exbB_1'),
GO593_08780,IX87_16870,unknown,exbD_4,GO593_08780,exbD_4,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,0.00944399252330223,0.999999999444384,italic('exbD_4'),
GO593_08780,IX87_16870,unknown,exbD_4,GO593_08780,exbD_4,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.00873798163930778,1,italic('exbD_4'),
GO593_07015,IX87_01850,fabB,fabB_1,fabB,fabB_1,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.0128711617815416,0.999999999990052,italic('fabB_1'),
GO593_07015,IX87_01850,fabB,fabB_1,fabB,fabB_1,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,0.00775937531737803,0.999999999999998,italic('fabB_1'),
GO593_10500,IX87_01850,fabB,fabB_1,fabB,fabB_2,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0844675134041322,1,italic('fabB_2'),
GO593_10500,IX87_01850,fabB,fabB_1,fabB,fabB_2,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.0900827556379006,1,italic('fabB_2'),
GO593_10275,IX87_18415,fabD,fabD,fabD,fabD,"",fabD,perfect,fosfomycin_T2_1 - none_T2_1a,-0.0315891740994726,0.999999999990052,italic('fabD'),
GO593_10275,IX87_18415,fabD,fabD,fabD,fabD,"",fabD,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0354971194519927,1,italic('fabD'),
